v1	V(n001)	V(n003)	V(n004)	-I(R1)	-I(R2)
1.340000000000001e+00	3.000000e+00	1.101821e-01	6.687790e-01	2.034003e-05	2.889818e-03
1.350000000000001e+00	3.000000e+00	1.093969e-01	6.688058e-01	2.064225e-05	2.890603e-03
1.360000000000001e+00	3.000000e+00	1.086350e-01	6.688324e-01	2.094447e-05	2.891365e-03
1.370000000000001e+00	3.000000e+00	1.078950e-01	6.688589e-01	2.124670e-05	2.892105e-03
1.380000000000001e+00	3.000000e+00	1.071757e-01	6.688851e-01	2.154894e-05	2.892824e-03
1.390000000000001e+00	3.000000e+00	1.064760e-01	6.689111e-01	2.185118e-05	2.893524e-03
1.400000000000001e+00	3.000000e+00	1.057950e-01	6.689370e-01	2.215343e-05	2.894205e-03
1.410000000000001e+00	3.000000e+00	1.051316e-01	6.689626e-01	2.245568e-05	2.894868e-03
1.420000000000001e+00	3.000000e+00	1.044851e-01	6.689881e-01	2.275794e-05	2.895515e-03
1.430000000000001e+00	3.000000e+00	1.038546e-01	6.690134e-01	2.306020e-05	2.896145e-03
1.440000000000001e+00	3.000000e+00	1.032394e-01	6.690386e-01	2.336247e-05	2.896761e-03
1.450000000000001e+00	3.000000e+00	1.026387e-01	6.690636e-01	2.366474e-05	2.897361e-03
1.460000000000001e+00	3.000000e+00	1.020519e-01	6.690885e-01	2.396701e-05	2.897948e-03
1.470000000000001e+00	3.000000e+00	1.014785e-01	6.691133e-01	2.426929e-05	2.898521e-03
1.480000000000001e+00	3.000000e+00	1.009178e-01	6.691379e-01	2.457158e-05	2.899082e-03
1.490000000000001e+00	3.000000e+00	1.003693e-01	6.691624e-01	2.487387e-05	2.899631e-03
1.500000000000000e+00	3.000000e+00	9.983256e-02	6.691868e-01	2.517616e-05	2.900167e-03
